"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
"Q8WWI1.9",24105.8,100512,285657,142858.2,93764.03,180355.7,6501.907,2105.3,56675.62,44157.44,0,0
"Q8WWI1.10",317337,425306.1,365449,283119.1,198460.3,172145.9,345083.1,320197.4,334792.1,257700.8,0,0
"Q8WWI1.11",16071.12,23179.83,65646.34,57338.18,39274.46,18848.86,35469.56,33658.77,41605.4,28099.31,0,0
"Q8WWI1.12",3059.594,0,23976.66,19316.37,2753.987,12925.65,26954.08,25894.13,16760.25,17106.62,0,0
"Q8WWI1.13",513080.7,506768.1,1215364,1531455,718531.7,581281.9,833240.4,899062,506541.9,456929.5,0,0
"Q8WZ73",1385.016,5173.539,2692.052,4812.032,3086.697,2162.816,57219.33,42198.27,7835.804,5502.659,0,0
"Q92508",22748.2,19573.26,26116.48,24371.54,25363.15,21200.61,17309.67,5753.063,59185.85,43826.17,0,0
"Q92538",158240.9,182103.1,370670.1,276598.4,137374.1,170027.2,228605.7,229274.9,331776,287972.6,0,0
"Q92597",13111.67,19879.66,23381.18,19268.52,101006.8,109251,113330.2,105886.2,205360.2,162606,0,0
"Q92597.1",16952.74,20296.52,47854.21,53242.26,68041.45,69671.48,72197.93,79400.91,138484.4,103179.8,0,0
"Q92615",56496.71,65398.43,104606.1,69007.05,119397.4,93473.14,144522.8,135778,144756,124677.4,0,0
"Q92733",277394.3,372449.1,557898.3,374694,959048.5,674217.8,346941.2,294932.1,422523.8,353703.6,0,0
"Q92766",54453.13,50674.71,56342.77,44108.63,31793.52,22703.78,3973.536,5452.08,12169.4,13574.26,0,0
"Q92890",0,0,0,0,0,0,20008.64,21770.77,0,0,0,0
"Q92922",998747.1,1237109,881034.3,714452.2,1225519,179647.1,21729,19486.99,60160.19,34077.79,0,0
"Q92934",0,0,0,0,0,0,11043.54,16190.38,0,0,0,0
"Q92974",46162.22,68581.07,77779.34,74244.46,67303.91,65404,196786.1,195688.2,136265.5,92949.58,0,0
"Q92994",142009.1,120222.6,36093.83,12442.02,416348.1,504569,41469.23,54188.94,63546.98,75726.91,0,0
"Q96AY3",490377.6,569648.6,95124.14,83567.2,37376.7,43703.91,225052,272628,347912.9,389512.8,0,0
"Q96B97",0,859.5031,1163.309,1655.851,5154.594,2397.867,27888.29,32491.86,25530.4,6313.926,0,0
